lang,n_train,n_duration_filtered,n_rep_filtered,n_survivors,n_quality_keep,keep_fraction,mean_ppl_keep,mean_ppl_drop,hard_filter_survival_rate,kenlm_arpa_path
aln,965,98,8,859,515,0.6,4.83,6.35,0.8902,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/aln/char_4gram.arpa
bew,814,81,6,727,436,0.6,4.89,5.94,0.8931,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/bew/char_4gram.arpa
bxk,1642,165,16,1461,876,0.6,4.44,5.6,0.8898,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/bxk/char_4gram.arpa
cgg,1769,175,8,1586,951,0.6,4.07,5.42,0.8966,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/cgg/char_4gram.arpa
el-CY,782,80,0,702,421,0.6,4.31,5.39,0.8977,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/el-CY/char_4gram.arpa
hch,844,85,2,757,454,0.6,4.32,5.29,0.8969,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/hch/char_4gram.arpa
kcn,1395,140,11,1244,746,0.6,4.87,6.23,0.8918,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/kcn/char_4gram.arpa
koo,1739,172,17,1550,930,0.6,4.2,5.4,0.8913,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/koo/char_4gram.arpa
led,1491,149,12,1330,798,0.6,3.89,4.92,0.892,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/led/char_4gram.arpa
lke,1712,167,17,1528,916,0.6,4.59,6.13,0.8925,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/lke/char_4gram.arpa
lth,1434,144,11,1279,767,0.6,4.08,5.25,0.8919,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/lth/char_4gram.arpa
meh,666,68,1,597,358,0.6,4.22,5.22,0.8964,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/meh/char_4gram.arpa
mmc,473,48,2,423,253,0.6,4.22,5.32,0.8943,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/mmc/char_4gram.arpa
pne,1813,182,16,1615,969,0.6,3.82,4.89,0.8908,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/pne/char_4gram.arpa
ruc,1346,135,11,1200,720,0.6,4.52,5.91,0.8915,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/ruc/char_4gram.arpa
rwm,1326,134,10,1182,709,0.6,4.36,5.51,0.8914,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/rwm/char_4gram.arpa
sco,423,44,1,378,226,0.6,4.8,5.63,0.8936,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/sco/char_4gram.arpa
tob,836,83,5,748,448,0.6,3.93,5.06,0.8947,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/tob/char_4gram.arpa
top,189,20,0,169,101,0.6,4.58,5.45,0.8942,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/top/char_4gram.arpa
ttj,1436,144,11,1281,768,0.6,4.16,5.24,0.8921,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/ttj/char_4gram.arpa
ukv,1505,151,8,1346,807,0.6,4.33,5.72,0.8944,/mmfs1/gscratch/scrubbed/vitthal1/low-resource-asr/results/lm_ablation/arpa_artifacts/quality/ukv/char_4gram.arpa
