lang,split,n_train,n_train_hours,greedy_val_wer,greedy_val_cer,greedy_test_wer,greedy_test_cer,lm_test_wer,lm_test_cer,is_curated,hours_label
aln,1h,,0.99672,0.5306996668253213,0.18499123026810324,0.7427594529364441,0.33962096271910314,0.6204746580852776,0.35069846071714567,0,1h
aln,2h,,1.9972,0.48357924797715374,0.16960661488348786,0.6389782783588094,0.28952753803719194,0.5347948511665326,0.2961117537147433,0,2h
aln,3h,,2.9965,0.5849595430747263,0.1993735905788023,0.750804505229284,0.3404662336506807,0.58467417538214,0.3162203042975354,0,3h
aln,5h,,4.99929,0.5027367920038077,0.17536958155850663,0.6156476267095736,0.2786724797579856,0.5090506838294448,0.28054097339620965,0,5h
aln,full,,6.38598,0.4798905283198477,0.16722625908293662,0.6108205953338697,0.27275558323694277,0.5068382944489139,0.2717323605302963,0,full
aln,curated-1h,,0.99675,0.5434316991908615,0.1884490102731145,0.7190265486725663,0.32725331435181065,0.5862831858407079,0.3421122875700685,1,1h
aln,curated-2h,,1.99323,0.9909566872917658,0.8291405662741168,0.9865245374094932,0.8710294510187739,0.9509251810136766,0.9044398967879704,1,2h
aln,curated-3h,,2.99385,0.9650166587339363,0.8427962916562265,1.0512872083668543,0.8300560548091467,1.0012067578439259,0.7782720882640805,1,3h
aln,curated-full,,3.49717,0.9911946692051404,0.7939864695565021,0.9903459372485921,0.8195124121363111,0.9452936444086887,0.8211584660556989,1,full
bew,1h,,0.99726,0.5876521739130435,0.1952095128630823,0.568196371398079,0.19002208743820775,0.535965848452508,0.20485222452056234,0,1h
bew,2h,,1.99444,0.5363478260869565,0.18218324748485235,0.5284951974386339,0.17985485397749185,0.47982924226254003,0.18003015110612489,0,2h
bew,3h,,2.99033,0.5183478260869565,0.1753721283328367,0.5105656350053361,0.1742804052869614,0.46254002134471717,0.1764891491077376,0,3h
bew,5h,,4.99681,0.48182608695652174,0.16658862259304982,0.5011739594450374,0.17035374960558147,0.43735325506937034,0.16818006521053186,0,5h
bew,full,,5.78617,0.48243478260869566,0.1671845955188512,0.49092849519743864,0.16825018406198505,0.4345784418356457,0.16937208568523648,0,full
bew,curated-1h,,0.99091,1.0495652173913044,0.6974586011664041,1.039701173959445,0.7117871788580842,1.0757737459978656,0.7697592092811328,1,1h
bew,curated-2h,,1.99826,0.9996521739130435,0.8769032111588836,0.9993596584845251,0.8827941537275245,0.991462113127001,0.8553503207037959,1,2h
bew,curated-3h,,2.95419,0.4893913043478261,0.17006513132689116,0.4983991462113127,0.17191826434404683,0.46446104589114195,0.1796291752830255,1,3h
bew,curated-full,,2.95419,0.4862608695652174,0.16956848722205667,0.4975453575240128,0.17188321474886964,0.4576307363927428,0.17247905786688164,1,full
el-CY,1h,,0.99569,1.000199740337561,0.9749254891797331,1.0,0.9742429906542056,0.9941506785212916,0.904822429906542,0,1h
el-CY,2h,,1.99451,1.0,0.9270927821692367,0.9990641085634067,0.9257984890418132,0.983387927000468,0.9116987059615529,0,2h
el-CY,3h,,2.99215,0.9914111654848696,0.8247213943242192,0.989705194197473,0.8318620483279718,0.9791764155357978,0.9125458217999551,0,3h
el-CY,5h,,4.99859,0.512633576350744,0.1688317999222496,0.5187178287318671,0.16184062850729516,0.3930744033692092,0.14377104377104377,0,5h
el-CY,full,,7.15268,0.44881653849995007,0.14923221459116237,0.4548432381843706,0.140778151889263,0.34300421151146465,0.12124953236064347,0,full
el-CY,curated-1h,,0.99238,0.602916208928393,0.20717247635091357,0.5835283107159569,0.1941972631421521,0.4789424426766495,0.1882524489643311,1,1h
el-CY,curated-2h,,1.99735,0.5169279936083092,0.17569975379033304,0.5255030416471689,0.16808765238202078,0.42466073935423493,0.16401166704061027,1,2h
el-CY,curated-3h,,2.99051,0.47608109457704983,0.1592425813139821,0.4798783341132429,0.15319021617174058,0.3900327562002808,0.14507442591068892,1,3h
el-CY,curated-full,,3.66551,0.49275941276340757,0.16479849682519113,0.4925128685072532,0.15580821303014436,0.3792700046794572,0.1424938290074052,1,full
hch,1h,,0.99473,0.9973837209302325,0.9577834741605747,0.9991075412762159,0.9514588174541699,0.9558232931726908,0.8980635166537568,0,1h
hch,2h,,1.99381,0.951453488372093,0.3438083483654546,0.9509147701918786,0.324931563452301,0.7684069611780455,0.33376375187232066,0,2h
hch,3h,,2.99601,0.765406976744186,0.16256843570999083,0.7630522088353414,0.17876142761221012,0.5881302989736724,0.1577914363927483,0,3h
hch,5h,,4.99101,0.6744186046511628,0.14168169878793632,0.6751450245426149,0.15952885261145838,0.5506470325747435,0.13948442423929328,0,5h
hch,full,,6.27442,0.9575581395348837,0.9138580334820722,0.9567157518964748,0.8991579273647776,0.9941990182954038,0.8755488970398305,0,full
hch,curated-1h,,0.9988,0.9337209302325581,0.23564036836608754,0.9424364123159303,0.25551366148442745,0.7108433734939759,0.22937864779711792,1,1h
hch,curated-2h,,1.99913,0.7619186046511628,0.1740561410171208,0.7929495760821063,0.195329854832877,0.6497099509147702,0.1796249418814899,1,2h
